rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1804,1600,Metals & Mining,,54.0,Spain,,,Metals & Mining,Spain,,False,R,M,10/1/1968 0:00,Riberas Mera,Juan Maria,,4/4/2023 5:01,,,1968.0,10.0,1.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1804,1600,Food & Beverage,,44.0,United States,,,Food & Beverage,United States,,False,E,M,6/1/1978 0:00,Santo Domingo,Andres,,4/4/2023 5:01,New York,Northeast,1978.0,6.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Food & Beverage,,68.0,Thailand,,,Food & Beverage,Thailand,,True,E,M,4/20/1954 0:00,Sathientham,Sathien,,4/4/2023 5:01,,,1954.0,4.0,20.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1804,1600,Manufacturing,,49.0,China,,,Manufacturing,China,,True,D,M,3/30/1974 0:00,Shang,Xiaobo,,4/4/2023 5:01,,,1974.0,3.0,30.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Food & Beverage,,55.0,Switzerland,,,Food & Beverage,Russia,,True,U,M,9/10/1967 0:00,Shefler,Yuri,,4/4/2023 5:01,,,1967.0,9.0,10.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1804,1600,Metals & Mining,,59.0,United Kingdom,,,Metals & Mining,United States,,True,E,M,3/23/1964 0:00,Shvidler,Evgeny (Eugene),,4/4/2023 5:01,,,1964.0,3.0,23.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1804,1600,Technology,,44.0,United States,,,Technology,United States,,True,E,M,6/28/1978 0:00,Smith,Ryan,,4/4/2023 5:01,Utah,West,1978.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Diversified,,61.0,Russia,,,Diversified,Russia,,True,R,M,1/23/1962 0:00,Smushkin,Zakhar,,4/4/2023 5:01,,,1962.0,1.0,23.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1804,1600,Service,,63.0,United States,,,Service,United States,,False,E,M,11/22/1959 0:00,Sperling,Peter,,4/4/2023 5:01,Arizona,West,1959.0,11.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Diversified,,72.0,United States,,,Diversified,United States,,False,U,F,2/19/1951 0:00,Tisch,Laurie,,4/4/2023 5:01,New York,Northeast,1951.0,2.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Diversified,,74.0,United States,,,Diversified,United States,,False,U,M,2/14/1949 0:00,Tisch,Steven,,4/4/2023 5:01,California,West,1949.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Manufacturing,,57.0,Austria,,,Manufacturing,Austria,,True,D,M,3/31/1966 0:00,Tojner,Michael,,4/4/2023 5:01,,,1966.0,3.0,31.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
1804,1600,Healthcare,,67.0,United States,,,Healthcare,United States,,True,U,M,1/1/1956 0:00,Troendle,August,,4/4/2023 5:01,Ohio,Midwest,1956.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Manufacturing,,,Taiwan,,,Manufacturing,Taiwan,,False,E,F,,Tseng,Sing-ai,,4/4/2023 5:01,,,,,,,,,,,,,,,,
1804,1600,Technology,,51.0,India,,,Technology,India,,True,U,M,1/1/1972 0:00,Vembu,Sekar,,4/4/2023 5:01,,,1972.0,1.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1804,1600,Energy,,70.0,Australia,,,Energy,Australia,,True,R,M,1/1/1953 0:00,Wallin,Chris,,4/4/2023 5:01,,,1953.0,1.0,1.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1804,1600,Media & Entertainment,,57.0,China,,,Media & Entertainment,China,,True,D,M,4/26/1965 0:00,Wang,Changtian,,4/4/2023 5:01,,,1965.0,4.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Media & Entertainment,,36.0,China,,,Media & Entertainment,China,,True,D,M,1/1/1987 0:00,Wang,Ning,,4/4/2023 5:01,,,1987.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Technology,,67.0,United States,,,Technology,United States,,True,E,M,5/18/1955 0:00,Watterson,Scott,,4/4/2023 5:01,Utah,West,1955.0,5.0,18.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Energy,,66.0,United States,,,Energy,United States,,True,U,M,5/30/1956 0:00,Wilks,Dan,,4/4/2023 5:01,Texas,South,1956.0,5.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Fashion & Retail,,82.0,Australia,,,Fashion & Retail,Australia,,False,Split Family Fortune,M,10/28/1940 0:00,Wilson,Alan,,4/4/2023 5:01,,,1940.0,10.0,28.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1804,1600,Fashion & Retail,,76.0,Australia,,,Fashion & Retail,Australia,,False,Split Family Fortune,M,4/19/1946 0:00,Wilson,Bruce,,4/4/2023 5:01,,,1946.0,4.0,19.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1804,1600,Fashion & Retail,,85.0,Australia,,,Fashion & Retail,Australia,,False,Split Family Fortune,M,12/31/1937 0:00,Wilson,John,,4/4/2023 5:01,,,1937.0,12.0,31.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1804,1600,Technology,,57.0,United States,,,Technology,United States,,True,D,M,12/4/1965 0:00,Wood,Anthony,,4/4/2023 5:01,California,West,1965.0,12.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Manufacturing,,58.0,China,,,Manufacturing,China,,True,D,M,4/16/1964 0:00,Wu,Ying,,4/4/2023 5:01,,,1964.0,4.0,16.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Healthcare,,53.0,China,,,Healthcare,China,,True,D,F,8/26/1969 0:00,Wu,Yulan,,4/4/2023 5:01,,,1969.0,8.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Technology,,49.0,China,,,Technology,China,,True,D,M,10/28/1973 0:00,Wu,Zhongyi,,4/4/2023 5:01,,,1973.0,10.0,28.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Manufacturing,,59.0,China,,,Manufacturing,China,,True,D,M,10/1/1963 0:00,Xiang,Guangming,,4/4/2023 5:01,,,1963.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Technology,,64.0,China,,,Technology,China,,True,D,M,2/10/1959 0:00,Xue,Xiangdong,,4/4/2023 5:01,,,1959.0,2.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Healthcare,,63.0,United States,,,Healthcare,United States,,True,U,M,9/10/1959 0:00,Yancopoulos,George,,4/4/2023 5:01,New York,Northeast,1959.0,9.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1804,1600,Technology,,40.0,China,,,Technology,China,,True,D,M,5/1/1982 0:00,Yang,Steven Meng,,4/4/2023 5:01,,,1982.0,5.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Automotive,,52.0,China,,,Automotive,China,,True,D,M,1/1/1971 0:00,Ye,Fan,,4/4/2023 5:01,,,1971.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Diversified,,62.0,China,,,Diversified,China,,True,D,M,2/1/1961 0:00,Yi,Dasheng,,4/4/2023 5:01,,,1961.0,2.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Manufacturing,,55.0,China,,,Manufacturing,China,,True,D,F,1/1/1968 0:00,Yu,Lili,,4/4/2023 5:01,,,1968.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Technology,,48.0,China,,,Technology,China,,True,D,M,1/1/1975 0:00,Zeng,Kaitian,,4/4/2023 5:01,,,1975.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Metals & Mining,,75.0,China,,,Metals & Mining,China,,True,D,M,7/1/1947 0:00,Zhang,Xuexin,,4/4/2023 5:01,,,1947.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Food & Beverage,,58.0,China,,,Food & Beverage,China,,True,D,M,10/1/1964 0:00,Zhang,Yubai,,4/4/2023 5:01,,,1964.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1804,1600,Gambling & Casinos,,52.0,Sweden,,,Gambling & Casinos,Sweden,,True,U,M,1/19/1971 0:00,Österberg,Fredrik,,4/4/2023 5:01,,,1971.0,1.0,19.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
1905,1500,Food & Beverage,,82.0,India,,,Food & Beverage,India,,False,N,M,1/1/1941 0:00,Agrawal,Shiv Kishan,,4/4/2023 5:01,,,1941.0,1.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1905,1500,Diversified,,62.0,Morocco,,,Diversified,Morocco,,False,D,M,1/1/1961 0:00,Akhannouch,Aziz,,4/4/2023 5:01,,,1961.0,1.0,1.0,111.07,0.2,118725279596.0,35.9,113.9,76.5,21.9,45.8,36910560.0,31.791702,-7.09262
1905,1500,Diversified,,68.0,Turkey,,,Diversified,Turkey,,True,E,M,1/1/1955 0:00,Akin,Hamdi,,4/4/2023 5:01,,,1955.0,1.0,1.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1905,1500,Manufacturing,,61.0,Italy,,,Manufacturing,Italy,,True,U,M,4/8/1961 0:00,Alessandri,Nerio,,4/4/2023 5:01,,,1961.0,4.0,8.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1905,1500,Diversified,,26.0,Norway,,,Diversified,Norway,,False,U,F,7/23/1996 0:00,Andresen,Alexandra,,4/4/2023 5:01,,,1996.0,7.0,23.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
1905,1500,Diversified,,27.0,Norway,,,Diversified,Norway,,False,U,F,5/21/1995 0:00,Andresen,Katharina,,4/4/2023 5:01,,,1995.0,5.0,21.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
1905,1500,Diversified,,68.0,Chile,,,Diversified,Chile,,False,U,F,4/5/1954 0:00,Angelini Rossi,Patricia,,4/4/2023 5:01,,,1954.0,4.0,5.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
1905,1500,Healthcare,,70.0,Israel,,,Healthcare,Israel,,True,D,M,9/24/1952 0:00,Arkin,Mori,,4/4/2023 5:01,,,1952.0,9.0,24.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1905,1500,Fashion & Retail,,53.0,Italy,,,Fashion & Retail,Italy,,False,U,F,7/2/1969 0:00,Benetton,Barbara,,4/4/2023 5:01,,,1969.0,7.0,2.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1905,1500,Metals & Mining,,79.0,Australia,,,Metals & Mining,Australia,,False,U,F,4/1/1944 0:00,Bennett,Angela,,4/4/2023 5:01,,,1944.0,4.0,1.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1905,1500,Diversified,,79.0,Israel,,,Diversified,Israel,,True,D,M,1/1/1944 0:00,Bino,Zadik,,4/4/2023 5:01,,,1944.0,1.0,1.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1905,1500,Fashion & Retail,,85.0,Italy,,,Fashion & Retail,Italy,,False,E,M,9/8/1937 0:00,Bulgari,Paolo,,4/4/2023 5:01,,,1937.0,9.0,8.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1905,1500,Food & Beverage,,46.0,United Arab Emirates,,,Food & Beverage,United Kingdom,,False,D,M,3/10/1977 0:00,Burman,Saket,,4/4/2023 5:01,,,1977.0,3.0,10.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
1905,1500,Diversified,,65.0,Turkey,,,Diversified,Turkey,,True,E,M,3/1/1958 0:00,Calik,Ahmet,,4/4/2023 5:01,,,1958.0,3.0,1.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1905,1500,Technology,,61.0,United States,,,Technology,United States,,True,E,F,12/13/1961 0:00,Catz,Safra,,4/4/2023 5:01,California,South,1961.0,12.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Logistics,,68.0,Taiwan,,,Logistics,Taiwan,,False,D,M,1/1/1955 0:00,Chang,Kuo-Hua,,4/4/2023 5:01,,,1955.0,1.0,1.0,,,,,,,,,,,
1905,1500,Manufacturing,,60.0,China,,,Manufacturing,China,,True,U,M,4/1/1963 0:00,Chu,Jian,,4/4/2023 5:01,,,1963.0,4.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Diversified,,70.0,Hungary,,,Diversified,Hungary,,True,U,M,3/20/1953 0:00,Csanyi,Sandor,,4/4/2023 5:01,,,1953.0,3.0,20.0,121.64,3.3,160967157504.0,48.5,100.8,75.8,23.0,37.9,9769949.0,47.162494,19.503304
1905,1500,Finance & Investments,,49.0,Brazil,,,Finance & Investments,Brazil,,False,D,F,10/25/1973 0:00,de Mattos Barretto Villela,Ana Lucia,,4/4/2023 5:01,,,1973.0,10.0,25.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
1905,1500,Manufacturing,,55.0,Italy,,,Manufacturing,Italy,,False,D,M,3/23/1968 0:00,De Nora,Federico,,4/4/2023 5:01,,,1968.0,3.0,23.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1905,1500,Technology,,70.0,United States,,,Technology,United States,,True,E,M,11/20/1952 0:00,Desai,Bharat,,4/4/2023 5:01,Florida,South,1952.0,11.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Diversified,,47.0,Tanzania,,,Diversified,Tanzania,,False,E,M,5/8/1975 0:00,Dewji,Mohammed,,4/4/2023 5:01,,,1975.0,5.0,8.0,187.43,3.5,63177068175.0,4.0,94.2,65.0,11.5,43.8,58005463.0,-6.369028,34.888822
1905,1500,Finance & Investments,,49.0,United States,,,Finance & Investments,United States,,True,E,M,8/23/1973 0:00,Durban,Egon,,4/4/2023 5:01,California,West,1973.0,8.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Manufacturing,,60.0,China,,,Manufacturing,China,,True,D,M,3/17/1963 0:00,Fu,Mingkang,,4/4/2023 5:01,,,1963.0,3.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Media & Entertainment,,94.0,United States,,,Media & Entertainment,United States,,True,E,M,12/25/1928 0:00,Gerry,Alan,,4/4/2023 5:01,New York,Northeast,1928.0,12.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Fashion & Retail,,69.0,France,,,Fashion & Retail,France,,True,D,M,1/1/1954 0:00,Ginestet,Philippe,,4/4/2023 5:01,,,1954.0,1.0,1.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1905,1500,Logistics,,78.0,Malaysia,,,Logistics,Malaysia,,True,D,M,9/10/1944 0:00,Gnanalingam,G.,,4/4/2023 5:01,,,1944.0,9.0,10.0,121.46,0.7,364701517788.0,45.1,105.3,76.0,12.0,38.7,32447385.0,4.210484,101.975766
1905,1500,Fashion & Retail,,87.0,Switzerland,,,Fashion & Retail,Switzerland,,False,E,F,1/1/1936 0:00,Grether,Esther,,4/4/2023 5:01,,,1936.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1905,1500,Manufacturing,,58.0,China,,,Manufacturing,China,,True,E,M,1/27/1965 0:00,Gu,Wei,,4/4/2023 5:01,,,1965.0,1.0,27.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Technology,,67.0,United States,,,Technology,United States,,True,D,M,5/8/1955 0:00,Hanrahan,Patrick,,4/4/2023 5:01,California,West,1955.0,5.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Finance & Investments,,54.0,United States,,,Finance & Investments,United States,,True,E,M,9/11/1968 0:00,Hao,Kenneth,,4/4/2023 5:01,California,West,1968.0,9.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Finance & Investments,,53.0,Slovakia,,,Finance & Investments,Slovakia,,True,U,M,8/30/1969 0:00,Hascak,Jaroslav,,4/4/2023 5:01,,,1969.0,8.0,30.0,115.34,2.7,105422304976.0,46.6,98.7,77.2,18.7,49.7,5454073.0,48.669026,19.699024
1905,1500,Manufacturing,,69.0,China,,,Manufacturing,China,,True,D,M,3/25/1954 0:00,He,Zhenggang,,4/4/2023 5:01,,,1954.0,3.0,25.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Real Estate,,73.0,India,,,Real Estate,India,,True,E,M,3/8/1950 0:00,Hiranandani,Niranjan,,4/4/2023 5:01,,,1950.0,3.0,8.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1905,1500,Finance & Investments,,52.0,Vietnam,,,Finance & Investments,Vietnam,,True,D,M,6/8/1970 0:00,Ho,Hung Anh,,4/4/2023 5:01,,,1970.0,6.0,8.0,163.52,2.8,261921244843.0,28.5,110.6,75.3,19.1,37.6,96462106.0,14.058324,108.277199
1905,1500,Technology,,70.0,Taiwan,,,Technology,Taiwan,,True,D,M,8/20/1952 0:00,Hwang,Archie,,4/4/2023 5:01,,,1952.0,8.0,20.0,,,,,,,,,,,
1905,1500,Media & Entertainment,,61.0,New Zealand,,,Media & Entertainment,New Zealand,,True,E,M,10/31/1961 0:00,Jackson,Peter,,4/4/2023 5:01,,,1961.0,10.0,31.0,114.24,1.6,206928765544.0,82.0,100.0,81.9,29.0,34.6,4841000.0,-40.900557,174.885971
1905,1500,Finance & Investments,,97.0,Canada,,,Finance & Investments,Canada,,True,D,M,9/9/1925 0:00,Jarislowsky,Stephen,,4/4/2023 5:01,,,1925.0,9.0,9.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1905,1500,Healthcare,,57.0,India,,,Healthcare,India,,True,U,M,7/28/1965 0:00,Juneja,Rajeev,,4/4/2023 5:01,,,1965.0,7.0,28.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1905,1500,Healthcare,,67.0,India,,,Healthcare,India,,True,U,M,7/28/1955 0:00,Juneja,Ramesh,,4/4/2023 5:01,,,1955.0,7.0,28.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1905,1500,Diversified,,62.0,China,,,Diversified,China,,True,E,M,6/7/1960 0:00,Ke,Xiping,,4/4/2023 5:01,,,1960.0,6.0,7.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Diversified,,78.0,South Korea,,,Diversified,South Korea,,True,U,M,12/4/1944 0:00,Kim,Jun-ki,,4/4/2023 5:01,,,1944.0,12.0,4.0,115.16,0.4,2029000000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
1905,1500,Fashion & Retail,,95.0,United States,,,Fashion & Retail,United States,,True,E,M,1/16/1928 0:00,Kimmel,Sidney,,4/4/2023 5:01,New York,Northeast,1928.0,1.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Food & Beverage,,73.0,United States,,,Food & Beverage,United States,,True,D,M,5/27/1949 0:00,Koch,Jim,,4/4/2023 5:01,Massachusetts,Northeast,1949.0,5.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Real Estate,,68.0,Singapore,,,Real Estate,Singapore,,True,Split Family Fortune,M,5/25/1954 0:00,Kumar,Raj,,4/4/2023 5:01,,,1954.0,5.0,25.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1905,1500,Diversified,,76.0,Switzerland,,,Diversified,Greece,,False,R,M,8/15/1946 0:00,Latsis,Spiro,,4/4/2023 5:01,,,1946.0,8.0,15.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1905,1500,Manufacturing,,56.0,Germany,,,Manufacturing,Germany,,False,D,M,1/1/1967 0:00,Leibinger,Peter,,4/4/2023 5:01,,,1967.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1905,1500,Manufacturing,,60.0,Germany,,,Manufacturing,Germany,,False,D,F,1/1/1963 0:00,Leibinger,Regine,,4/4/2023 5:01,,,1963.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1905,1500,Manufacturing,,63.0,Germany,,,Manufacturing,Germany,,False,D,F,12/15/1959 0:00,Leibinger-Kammueller,Nicola,,4/4/2023 5:01,,,1959.0,12.0,15.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1905,1500,Manufacturing,,50.0,China,,,Manufacturing,China,,True,D,M,9/27/1972 0:00,Li,Jianli,,4/4/2023 5:01,,,1972.0,9.0,27.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Manufacturing,,59.0,China,,,Manufacturing,China,,True,D,M,9/6/1963 0:00,Li,Jiaquan,,4/4/2023 5:01,,,1963.0,9.0,6.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Fashion & Retail,,71.0,China,,,Fashion & Retail,China,,True,D,M,6/13/1951 0:00,Li,Rucheng,,4/4/2023 5:01,,,1951.0,6.0,13.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Manufacturing,,66.0,China,,,Manufacturing,Taiwan,,True,U,M,8/1/1956 0:00,Li,Shui-po,,4/4/2023 5:01,,,1956.0,8.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Technology,,90.0,Taiwan,,,Technology,Taiwan,,True,U,M,1/1/1933 0:00,Lin,Scott,,4/4/2023 5:01,,,1933.0,1.0,1.0,,,,,,,,,,,
1905,1500,Manufacturing,,66.0,China,,,Manufacturing,United States,,True,D,M,3/1/1957 0:00,Liu,Xiucai,,4/4/2023 5:01,,,1957.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Automotive,,80.0,China,,,Automotive,China,,True,D,F,12/1/1942 0:00,Lu,Zhongfang,,4/4/2023 5:01,,,1942.0,12.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Logistics,,59.0,China,,,Logistics,China,,True,D,M,6/1/1963 0:00,Lu,Zongjun,,4/4/2023 5:01,,,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Diversified,,77.0,Egypt,,,Diversified,Egypt,,True,E,M,5/21/1945 0:00,Mansour,Youssef,,4/4/2023 5:01,,,1945.0,5.0,21.0,288.57,9.2,303175127598.0,35.2,106.3,71.8,12.5,44.4,100388073.0,26.820553,30.802498
1905,1500,Real Estate,,79.0,Australia,,,Real Estate,Australia,,True,D,M,2/14/1944 0:00,Mathieson,Bruce,,4/4/2023 5:01,,,1944.0,2.0,14.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1905,1500,Diversified,,88.0,Italy,,,Diversified,Italy,,True,D,M,3/6/1935 0:00,Minozzi,Romano,,4/4/2023 5:01,,,1935.0,3.0,6.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
